year,#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
2022-23,132,Aaron Nesmith,IND,73,24.9,10.1,3.5,8.1,42.7,1.6,4.3,36.6,1.6,1.9,83.8,0.8,2.9,3.8,1.3,0.8,0.5,1.0, 10.5
2022-23,133,Josh Richardson,NOP,65,23.5,10.1,3.7,8.5,43.1,1.6,4.5,36.5,1.1,1.2,85.2,0.6,2.1,2.7,2.7,1.1,0.3,1.3, 10.4
2022-23,134,Jonathan Kuminga,GSW,67,20.8,9.9,3.9,7.4,52.5,0.8,2.2,37.0,1.3,2.1,65.2,1.0,2.4,3.4,1.9,0.6,0.5,1.4, 10.7
2022-23,135,Onyeka Okongwu,ATL,80,23.1,9.9,4.0,6.2,63.8,0.1,0.2,30.8,1.9,2.5,78.1,2.7,4.5,7.2,1.0,0.7,1.3,1.0, 16.3
2022-23,136,Shaedon Sharpe,POR,80,22.2,9.9,3.8,8.1,47.2,1.3,3.5,36.0,0.9,1.3,71.4,0.8,2.2,3.0,1.2,0.5,0.3,1.0, 9.1
2022-23,137,Herbert Jones,NOP,66,29.6,9.8,3.6,7.6,46.9,0.8,2.5,33.5,1.9,2.4,76.4,1.5,2.6,4.1,2.5,1.6,0.6,1.3, 12.6
2022-23,138,Thomas Bryant,DEN,59,18.3,9.8,3.9,6.3,62.3,0.4,1.0,44.1,1.6,2.1,73.8,1.5,4.3,5.7,0.5,0.3,0.5,0.6, 13.3
2022-23,139,Al Horford,BOS,63,30.5,9.8,3.6,7.6,47.6,2.3,5.2,44.6,0.2,0.3,71.4,1.2,5.0,6.2,3.0,0.5,1.0,0.6, 15.7
2022-23,140,Josh Hart,NYK,76,32.3,9.8,3.6,6.8,52.9,0.8,2.2,37.2,1.7,2.3,75.0,1.9,5.9,7.8,3.8,1.2,0.3,1.5, 17.5
2022-23,141,Coby White,CHI,74,23.4,9.7,3.6,8.0,44.3,1.7,4.6,37.2,0.8,0.9,87.1,0.2,2.6,2.9,2.8,0.7,0.1,1.0, 10.5
2022-23,142,Keita Bates-Diop,SAS,67,21.7,9.7,3.5,6.9,50.8,0.8,2.1,39.4,1.8,2.2,79.3,1.0,2.7,3.7,1.5,0.7,0.3,0.8, 11.2
2022-23,143,Caleb Martin,MIA,71,29.3,9.6,3.6,7.7,46.4,1.2,3.3,35.6,1.3,1.6,80.5,1.2,3.6,4.8,1.6,1.0,0.4,1.1, 12.0
2022-23,144,Isaiah Joe,OKC,73,19.1,9.5,3.1,7.0,44.1,2.2,5.4,40.9,1.1,1.4,82.0,0.4,2.0,2.4,1.2,0.7,0.1,0.5, 9.2
2022-23,145,Andrew Nembhard,IND,75,27.7,9.5,3.8,8.6,44.1,1.2,3.5,35.0,0.7,0.8,79.0,0.5,2.2,2.7,4.5,0.9,0.2,1.7, 11.1
2022-23,146,Jalen Smith,IND,68,18.8,9.4,3.6,7.5,47.6,0.8,2.8,28.3,1.5,2.0,75.9,1.9,3.9,5.8,1.0,0.3,0.9,1.1, 11.9
2022-23,147,Jalen McDaniels,PHI,80,23.9,9.4,3.5,7.7,45.5,1.0,2.9,33.2,1.5,1.7,84.1,0.8,3.5,4.3,1.6,1.0,0.4,1.2, 11.2
2022-23,148,Gabe Vincent,MIA,68,25.9,9.4,3.4,8.3,40.2,1.7,5.1,33.4,1.0,1.1,87.2,0.4,1.7,2.1,2.5,0.9,0.1,1.4, 8.5
2022-23,149,Donte DiVincenzo,GSW,72,26.3,9.4,3.3,7.5,43.5,2.1,5.3,39.7,0.8,1.0,81.7,1.1,3.4,4.5,3.5,1.3,0.1,1.6, 12.9
